Tool Button,Description,"Expected Behaviour after
Mouse Click"
,"Show Latest
Platform Path","Latest path of Platform shall be shown on
‘Map Display’ if user selects this tool
button."
,Pan on Map,"Map mode shall be switched to ‘Pan’
mode and user shall use mouse left
button to pan on map."
,Zoom Out,"Selected area shall be zoomed out on
map."
,Zoom In,"Selected area shall be zoomed in on
map."
,Reset Zoom,Zoom shall be reset (removed) on map.
,List of Map Layers,"A GUI shall be displayed with list of map
layers (selected map files, way points) for
selecting/ deselecting them."
,Load Maps,"A GUI shall be displayed with list of map
available maps on SCD storage for
loading them into SCD application."
,"Super Impose
Tactical Picture","This will be a toggle button. Tactical
picture shall be displayed/ hidden if user
checks/ unchecks this tool button."
,"Show/ Hide
Spokes","This will be a toggle button. Spokes
(emitter DOA lines) shall be displayed/
hidden if user checks/ unchecks this tool
button."
,"Show/ Hide
Annotations","This will be a toggle button. Annotations
shall be displayed/ hidden if user checks/
unchecks this tool button."
,"Show/ Hide Way
Points","This will be a toggle button. Way points
shall be displayed/ hidden if user checks/
unchecks this tool button."
,"Switch to Moving
Platform/ Moving
Map/ Pan Mode","This will be tri-state toggle button. If user
clicks on this tool button; display shall be
switched to ‘Moving Platform, Moving
Map or Pan’ mode w.r.t. state of the tool
button."
