Parameter,Description,Expected Values,Units
,Emitter,,
PRF,"‘Pulse Repetition
Frequency’ of
Emitter","0, 50-500000.",Hz
PRF Type,"‘PRF Type’ of
Emitter","FIX: Fixed,
STA: Staggered,
JIT: Jittered,
DSW: Dwell & Switched,
SLI: Sliding,
WOB: Wobulated,
UN: Unknown.
Value: PRF/ Freq Type
0: Fixed or CW Variants,
1-256: Staggered,
1-16: Dwell & Switched,
0-30%: Jitter.",None
Radar Name,"‘Name of Radar’
found in ‘Emitter
Library’ after Library
Match for Emitter","Alphanumeric characters
(maximum 8 characters).",None
CL,"‘Confidence Level’ of
Emitter after Library
Match",1-9.,None
Amp.,‘Amplitude’ of Emitter,0-100.,dB
ST,"‘Scan Type’ of
Emitter","CIR: Circular,
SEC: Sectorial,
LOC: Lock-On,
UN: Unknown.",None
ASP,"‘Antenna Scan
Period’ of emitter","0, 30-20000.",ms
TOFA,"‘Time of First Arrival’
of Emitter",Time in ‘hh:mm:ss’ format.,None
TOLA,‘Time of Last Arrival’,Time in ‘hh:mm:ss’ format.,None
