Shortcut Operation/ Description,
Ctrl + J,Track & Jam in Semi-Auto Mode with Default JPRO Technique.
Ctrl + K,Break Track All Emitters Currently being Handled by EA System.
Ctrl + L,Show Link Status.
Ctrl + M,Track &Jam Manual Mode with Default JPRO Technique.
Ctrl + N,Track In Manual Mode.
Ctrl + O,List of Shortcut Keys in Online Mode.
Ctrl + P,Jam All Emitters Currently being Tracked by EA System.
Ctrl + Q,Logout from Online Mode.
Ctrl + R,Toggle Status Display of Receiver 'Duty Cycle &Mode'.
Ctrl + S,Stop Jam All Emitters Currently being Jammed by EA System.
Ctrl + T,Track in Semi Auto Mode with Default JPRO Technique.
Ctrl + U,Show Hook up Emitters Window.
Ctrl + W,Emitters Watch Window.
Ctrl + X,Go to Offline Mode from Online Mode.
Ctrl + Y,Toggle Display to 'True/ Relative' Mode.
Ctrl + Z,Apply Zoom in Tactical Display w.r.t. Sector.
