Ser.,Faults,Possible Cause,Corrective action
,,,Processor (LB1)
2,"Ethernet Link is not
OK","Receiver processor
(LB1) LRU Rx and
Amp Card may be
faulty","Carry out pinging checks
192.168.5.9 (Rx and AMP )
If not OK replace Card"
,,"Receiver processor
(LB1) LRU PPD card
may be faulty","Carry out pinging checks
192.168.5.93 (PPD V5)
192.168.5.114 (PPD MPC) If
no ping happens replace
card"
3,"No Track and
PDcount OK","Antenna Switching Unit
may be faulty","Initiate BITE command and
check Antenna Switching
Unit RF outputs. If not OK
Replace ASU"
,,Multi Channel RF Unit,"Check IF output of MCRFU.
If not OK replace MCRFU"
4,"No Track and No
PD counts","ES RK2 Rx processor
(LB1) J8 input cable","Check blanking signal is
Low. If blanking is High,
Check Blanking input at ESI
Unit."
,,"Antenna Switching Unit
may be faulty","Initiate BITE command and
check Antenna Switching
Unit RF outputs. If not OK
Replace ASU"
5,"No Maintenance
BITE Track","Antenna Switching Unit
may be faulty","Initiate BITE command and
check Antenna Switching
Unit RF outputs. If not OK
Replace ASU"
,,Multichannel RF Unit,"Check IF output of MCRFU.
If not OK replace MCRFU"
,,"Receiver processor
(LB1)LRU","Check IF input cables to the
LRU are intact"
6,DF error in track,Antenna Switching Unit,Initiate BITE command and
