Ser,Description,Part No.,Qty
1,ES AHU-1,172300352518,1
2,ES AHU-2,172300352615,1
3,ES AHU-3,172300352712,4
4,ES AHU-4,172300352809,1
5,ES-Rack 1,172300352906,1
6,ES-Rack 2,172300353003,1
7,"System Controller &Display
(SCD) Rack",172300353197,1
8,"External System Interface (ESI)
Unit",172300353294,1
9,Field Data Loader (FDL),172300353391,1
10,Rugged Ethernet Switch (Type-1),172300353488,2
11,Rugged Ethernet Switch (Type-2),172300353585,2
12,EA Rack-1,172300353779,1
13,EA Rack-2,172300353876,1
14,MB2 Jammer,172300353973,2
15,HB Jammer,172300354070,2
16,Heat Exchanger Unit,172300354167,2
17,Transmitter-Power Supply (MB2),172300354264,4
