Ser.,Material No.,Item Description (As per Contract),QTY,UOM
1,172300752837,AMP LMT with Video Module 18-40GHz,1,NO
2,172300752158,Front End Module 2.2-18GHz,1,NO
3,172300356301,TDOA Processor PCB - TYPE 2,1,NO
4,172300752255,FREQ Synthesizer 0.5-2G,1,NO
5,172300391027,Receiver Interface Board(RIB),1,NO
6,172300752449,FREQ Synthesizer 2-18G,1,NO
7,172300752449,18-40GHz Biconical Antenna,1,NO
8,172300357077,Display Monitor,1,NO
9,172300357368,SBC PCB- TYPE 1,1,NO
10,172300357465,DAU PCB,1,NO
11,172300357562,DSP PCB,1,NO
12,172300357659,Emitter Processor PCB,1,NO
13,172300357756,PPD PCB,1,NO
14,172300357853,SBC PCB - TYPE 2,1,NO
15,172300358241,High Speed ADC/DAC Module,1,NO
16,172300753225,LO Synthesizer 6-18G,1,NO
17,172300753322,DTO 6-18G,1,NO
18,172300358629,RFC & NG Module,1,NO
19,172300753419,Threshold Detector 6-18G,1,NO
