Ser.,Material,Item Description,"Ord
Qty",UoM
11,172300356204,2.2-18 GHZ Integrated Homodyne RX,4,NO
12,172300356495,0.5-18 GHZ QUAD S/H RX WITH BDU,4,NO
13,172300357950,Receiver Processor UNIT,4,NO
14,172300676983,ASU (LB1-SHAKTI),4,NO
15,172300683482,Multi CH RF Unit (LB1-SHAKTI),4,NO
16,172300705792,Power Supply (AHU1-LB1),4,NO
17,172300826945,Set of Spares for RX Processor-LB1,4,Set
18,172300826460,Set of Spares for ESM Processor,4,Set
19,172300826848,Set of Spares for RX Processor,4,Set
20,172300348056,Control Unit (ES RACK-1),4,NO
21,172300347571,Wide Band Tuner,4,NO
22,172300826363,Set of Spares for RFPS Processor,4,Set
23,172300347862,LVPS-1,4,NO
24,172300347959,LVPS-2,4,NO
25,172300826751,Set of Spares for SCD Processor,4,Set
26,172300353488,Rugged Ethernet Switch (TYPE-1),4,NO
27,172300353585,Rugged Ethernet Switch (TYPE-2),4,NO
28,172300358047,External System Interface (ESI) Unit,4,NO
29,172300826557,"Set of Discreet Spares for ES System
(B&D)",4,Set
30,446172360141,"Display LCD 20"" Flat Panel (Drip Proof)",4,NO
31,172300358823,EA Processor Module,4,NO
32,172300364158,Control Panel I/F PCB,4,NO
