Ser,Description,Specification Value
3,VSWR(MAX),2.5:1
4,Polarization,Circular(LHCP)
5,Gain,-4.5 dBi to 2 dBi
6,"Gain Tracking Among Set of 4
Antennas in Array","±1 dB (2 dB Window) ON AXIS
±1.5 dB (3 dB Window) ±45° OFF AXIS"
7,"Phase Tracking Among Set Of 4
Antennas in Array","±10°(20° WINDOW) ON AXIS
±15°(30° WINDOW) ±45° OFF AXIS"
8,3dB beam width,"50°(MIN),110° (MAX)"
9,Axial Ratio (MAX),"3 dB (ON AXIS), 4 dB(±45° OFF AXIS)"
10,Beam SQUINT (MAX),±10°
11,Back lobe Level(MAX),-9.5 dB
12,Connector,SMA Female
13,Size of Antenna,"61.7 mm Ø, 42.5 mm Height Without
Connector"
14,No. Of Antennas in Array,Four
15,"Inter Element Spacing in The
Array",1:2:1.5 62 mm :124 mm :93 mm)
16,RADOME,Thin Wall (RT Duroid 5880)
