Ser,"Ref.Trk
No.",Rx.Type,"Freq
(MHz)",DOA(Deg),"PRF
(KHz)","PW
(nsec)"
1,601,NB Rx1,2100,45,100,1000
2,602,NB Rx1,5500,45,100,1000
3,603,NB Rx1,7500,45,100,1000
4,604,NB Rx1,15500,45,100,1000
5,605,NB Rx1,2100,135,100,1000
6,606,NB Rx1,5500,135,100,1000
7,607,NB Rx1,7500,135,100,1000
8,608,NB Rx1,15500,135,100,1000
9,609,NB Rx1,2100,225,100,1000
10,610,NB Rx1,5500,225,100,1000
11,611,NB Rx1,7500,225,100,1000
12,612,NB Rx1,15500,225,100,1000
13,613,NB Rx1,2100,315,100,1000
14,614,NB Rx1,5500,315,100,1000
15,615,NB Rx1,7500,315,100,1000
16,616,NB Rx1,15500,315,100,1000
17,701,NB Rx2,2250,45,100,1000
18,702,NB Rx2,3250,45,100,1000
19,703,NB Rx2,4250,45,100,1000
20,704,NB Rx2,5250,45,100,1000
21,705,NB Rx2,7750,45,100,1000
22,706,NB Rx2,11750,45,100,1000
23,707,NB Rx2,13750,45,100,1000
24,708,NB Rx2,15750,45,100,1000
25,709,NB Rx2,2250,135,100,1000
26,710,NB Rx2,3250,135,100,1000
27,711,NB Rx2,4250,135,100,1000
28,712,NB Rx2,5250,135,100,1000
29,713,NB Rx2,7750,135,100,1000
