Ser,BEL Part No.,Sub System Description,Qty
7,172300353197,System Controller & Display,1
7.1,172300348153,SCD Processor,1
7.2,480678060143,Wired Console Assembly,1
8,172300353488,Rugged Ethernet Switch (TYPE-1),2
9,172300353585,Rugged Ethernet Switch (TYPE-2),2
11,172300353391,Field Data Loader (FDL),1
12,172300353682,Fault Diagnostic Rack (FDR),1
EA SUB-SYSTEM,,,
13,172300353779,EA RACK-1,1
13.1,172300346989,EA Control Panel,1
13.2,172300441176,Low Voltage Power Supply(MB2),2
13.3,172300441273,Low Voltage Power Supply(HB),1
14,172300353876,EA RACK-2,1
14.1,172300452428,Servo Control Unit (1-AXIS),1
14.2,172300452525,Servo Control Unit (2-AXIS),1
15,172300353973,MB2 JAMMER,2
15.1,172300346407,Low Power Unit (MB2),1
15.2,172300785526,MB2-Tx Unit,1
15.3,172300785429,MB2-Front End Assy,1
15.4,172300452234,Servo Drive Assembly (1-AXIS),1
16,172300354070,HB JAMMER,2
16.1,172300346601,Front End Unit (HB),1
16.2,172300346795,Low Power Unit (HB),1
16.3,172300346892,Transmitter Unit (HB),1
