Ser,Attribute,Value
1,Warranty,2 Year(s)
2,Output Power,1 Watt
3,Recharge Time,5 to 8 Hr(s)
4,Features,"15-20 Minutes At Battery Full Charge Condition
Backup Time"
5,Techno Features,In Built ZPD Technology
6,Protection Features,"Off Mode Battery Charging With High Voltage
Protection"
7,Wave Form,Pseudo Sine Wave
8,UPS Type,Online
9,Segment,Office
10,Size and Dimension,Weight 8.9 kilos.
11,Color,Black outer body.
12,Output Voltage,UPS is 230V AC±10%.
13,Output Frequency,50Hz±1%.
14,General Capacity,This UPS can be applied on two computers with
