Ser,Description,BEL Part No.
1,EA RACK-1,172300353779
1.1,EA Control Panel,172300346989
1.2,EA Processor Module,172300358823
1.3,Control Panel I/F PCB,172300364158
1.4,Low Voltage Power Supply (EACP),172300532938
1.5,Low Voltage Power Supply (MB2),172300441176
1.6,Low Voltage Power Supply (HB),172300441273
2,EA RACK-2,172300353876
2.1,Servo Control Unit (1-AXIS),172300452428
2.2,Servo Control Unit (2-AXIS),172300452525
3,MB2 JAMMER,172300353973
3.1,Low Power Unit (MB2),172300346407
3.1.1,High Speed ADC/DAC Module,172300358241
3.1.2,RFC& NG Module,172300358629
3.1.3,LP(MB2) Filter PCB,172300564754
3.1.4,DDUC 4 CH 6-18 GHz,476678340124
3.1.5,Freq synthsizer 6-18 GHZ 100 KHZ,456072040267
3.1.6,MW OSC VC DGTL tuned 6-18G+10DBM,453572650288
3.1.7,DET 50 OHMS 6-18G,455872390114
3.2,MB2-Transmitter Unit,172300785526
3.2.1,High Power Linear Array ANT. With Radome,172300176560
3.2.2,BMPM C-Ku 100 W,113060006663
